model,month,count,baseline_avg6,signal
ELANTRA GT,2024-12,0,0.8333333333333334,False
ELANTRA GT,2025-01,0,0.8333333333333334,False
ELANTRA GT,2025-02,1,0.6666666666666666,False
ELANTRA GT,2025-03,6,0.3333333333333333,False
ELANTRA GT,2025-04,0,1.3333333333333333,False
ELANTRA GT,2025-05,0,1.3333333333333333,False
ELANTRA GT,2025-06,0,1.1666666666666667,False
ELANTRA GT,2025-07,0,1.1666666666666667,False
ELANTRA GT,2025-08,0,1.1666666666666667,False
ELANTRA GT,2025-09,0,1.0,False
ELANTRA GT,2025-10,0,0.0,False
ELANTRA GT,2025-11,0,0.0,False
ELANTRA GT,2025-12,0,0.0,False
ELANTRA GT,2026-01,0,0.0,False
ELANTRA GT,2026-02,0,0.0,False
ELANTRA GT,2026-03,0,0.0,False
ELANTRA GT,2026-04,1,0.0,False
ELANTRA GT,2026-05,1,0.16666666666666666,False
ELANTRA GT,2026-06,0,0.3333333333333333,False
ELANTRA HYBRID,2022-07,1,0.8333333333333334,False
ELANTRA HYBRID,2022-08,3,1.0,False
ELANTRA HYBRID,2022-09,0,1.3333333333333333,False
ELANTRA HYBRID,2022-10,0,1.3333333333333333,False
ELANTRA HYBRID,2022-11,1,1.3333333333333333,False
ELANTRA HYBRID,2022-12,2,1.3333333333333333,False
ELANTRA HYBRID,2023-01,4,1.1666666666666667,False
ELANTRA HYBRID,2023-02,1,1.6666666666666667,False
ELANTRA HYBRID,2023-03,3,1.3333333333333333,False
ELANTRA HYBRID,2023-04,3,1.8333333333333333,False
ELANTRA HYBRID,2023-05,2,2.3333333333333335,False
ELANTRA HYBRID,2023-06,3,2.5,False
ELANTRA HYBRID,2023-07,5,2.6666666666666665,False
ELANTRA HYBRID,2023-08,7,2.8333333333333335,False
ELANTRA HYBRID,2023-09,2,3.8333333333333335,False
ELANTRA HYBRID,2023-10,6,3.6666666666666665,False
ELANTRA HYBRID,2023-11,4,4.166666666666667,False
ELANTRA HYBRID,2023-12,1,4.5,False
ELANTRA HYBRID,2024-01,3,4.166666666666667,False
ELANTRA HYBRID,2024-02,6,3.8333333333333335,False
ELANTRA HYBRID,2024-03,3,3.6666666666666665,False
ELANTRA HYBRID,2024-04,4,3.8333333333333335,False
ELANTRA HYBRID,2024-05,1,3.5,False
ELANTRA HYBRID,2024-06,3,3.0,False
ELANTRA HYBRID,2024-07,4,3.3333333333333335,False
ELANTRA HYBRID,2024-08,8,3.5,False
ELANTRA HYBRID,2024-09,4,3.8333333333333335,False
ELANTRA HYBRID,2024-10,2,4.0,False
ELANTRA HYBRID,2024-11,3,3.6666666666666665,False
ELANTRA HYBRID,2024-12,3,4.0,False
ELANTRA HYBRID,2025-01,1,4.0,False
ELANTRA HYBRID,2025-02,4,3.5,False
ELANTRA HYBRID,2025-03,0,2.8333333333333335,False
ELANTRA HYBRID,2025-04,6,2.1666666666666665,False
ELANTRA HYBRID,2025-05,6,2.8333333333333335,False
ELANTRA HYBRID,2025-06,4,3.3333333333333335,False
ELANTRA HYBRID,2025-07,1,3.5,False
ELANTRA HYBRID,2025-08,0,3.5,False
ELANTRA HYBRID,2025-09,1,2.8333333333333335,False
ELANTRA HYBRID,2025-10,1,3.0,False
ELANTRA HYBRID,2025-11,0,2.1666666666666665,False
ELANTRA HYBRID,2025-12,1,1.1666666666666667,False
ELANTRA HYBRID,2026-01,2,0.6666666666666666,False
ELANTRA HYBRID,2026-02,0,0.8333333333333334,False
ELANTRA HYBRID,2026-03,0,0.8333333333333334,False
ELANTRA HYBRID,2026-04,4,0.6666666666666666,False
